cluster_labels,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,credit_utilization_ratio,effective_utilization,payment_to_balance_ratio,payment_coverage,min_payment_ratio,revolver_flag,payment_type,net_cash_flow,spending_sustainability,months_to_payoff,cash_advance_dependency,ca_vs_purchase_freq_ratio,total_activity,avg_purchase_size,purchase_size_category,debt_to_limit,payment_capacity,financial_stress,monthly_purchases,monthly_payments,purchases_per_tenure_month,payment_risk_score,customer_value_score
4,C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12.0,0.040900749,0.136300749,4.816192760659243,2.0933826141078837,1.4362137208278596,1,Minimum_Payer,106.402084,2.0933826141078837,0.2016781494217781,0.0,0.0,0.166667,31.8,Small,0.040900749,959.099251,0.18041053599999998,7.95,16.816840333333335,0.16666666666666666,43.04520247,38.528106741
0,C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.4574953451428571,0.4574953451428571,1.2808098426433316,4103.032597,3.8226766611503953,1,Above_Minimum,4103.032597,0.6367267705514199,0.7803221198440202,0.9998448155710444,25.0,0.25,0.0,,0.4574953451428571,3797.532584,0.6106868047142857,0.0,341.91938308333334,0.0,65.74196666570661,350.96948089400007
4,C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.33268651493333334,0.43577584826666665,0.2492105945562793,0.8035273157058528,0.9901031425101177,1,Minimum_Payer,-151.10325799999998,0.8035273157058528,4.004625337553325,0.0,0.0,1.0,59.47461538461538,Small,0.33268651493333334,5004.851138,0.4163244865333333,64.43083333333333,51.83889516666667,1.0,49.980595448,331.72433975800004
4,C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,9419.63968486,0.0,12.0,0.22222273893333333,0.42208940559999997,0.0,0.0,0.0,1,Below_Minimum,-1499.0,0.0,1666.670542,0.12064102628761754,0.8928567602027151,0.166666,749.5,Large,0.22222273893333333,5833.329458,1.4781746969146665,124.91666666666667,0.0,0.08333333333333333,52.71586269375236,624.889435728
4,C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,0.6814286125,0.6947619458333333,0.8285365651988981,39.90204488235294,2.7598004358471084,1,Above_Minimum,662.334763,39.90204488235294,1.2036986468775779,0.0,0.0,0.083333,8.0,Small,0.6814286125,382.285665,0.88542131,1.3333333333333333,56.52789691666666,0.08333333333333333,60.442858375,13.759429014999998
4,C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,1.0054604172222221,1.7461715283333332,0.7731585713043496,1.049298325688761,0.5813599398285731,1,Below_Minimum,66.77776999999992,1.049298325688761,1.2917588337560129,0.0,0.0,0.666667,148.14222222222222,Medium,1.0054604172222221,-9.828751000000011,2.342819325555556,111.10666666666667,116.67148083333332,0.6666666666666666,70.16381251666667,549.600458759
3,C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0.0,64.0,13500.0,6354.314328,198.065894,1.0,12.0,0.046463763407407405,0.5717237634074075,10.114134555769185,0.89598214441322,31.920658030953312,0,Full_Payer,-736.6956719999998,0.89598214441322,0.09869862820733168,0.0,0.0,1.0,109.09246153846154,Medium,0.046463763407407405,12872.739194,0.06113531111111111,590.9175,529.526194,5.333333333333333,1.393912902222222,2842.0493472540006
4,C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,0.7928924969565218,0.9825446708695652,0.37216126992115556,1.5532138197621226,1.2739620638451217,1,Minimum_Payer,242.86508199999997,1.5532138197621226,2.6815856177129826,0.0,0.0,1.0,33.55384615384615,Small,0.7928924969565218,476.3472569999999,1.0242116230434783,36.35,56.58875683333333,1.0,63.78677490869565,190.89287468700002
4,C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,0.14498949614285714,0.2680594961428571,0.6774885646670219,0.7980133891407436,2.1992301598427435,1,Above_Minimum,-173.21143200000006,0.7980133891407436,1.4724474546552273,0.0,0.0,0.333333,143.58166666666668,Medium,0.14498949614285714,5985.0735270000005,0.18955569742857142,71.79083333333334,57.35654733333333,0.4166666666666667,44.349684884285715,353.730338257
1,C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12.0,0.013838725,0.13034781590909092,7.601652337340323,0.9081323803212226,11.497972187432497,1,Above_Minimum,-116.82940899999994,0.9081323803212226,0.13057970082211484,0.0,0.0,0.166667,320.4,Medium,0.013838725,10847.774025,0.022957112454545455,106.8,97.06421591666667,0.25,44.960611750000005,514.010033775
