CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,DEBT_TO_LIMIT_RATIO,CASH_ADVANCE_DEPENDENCY,PAYMENT_TO_BALANCE_RATIO,MINIMUM_PAYMENT_DEPENDENCY,TOTAL_ACTIVITY,TRANSACTION_FREQUENCY,CASH_ADVANCE_INTENSITY,PAYMENT_STRESS_RATIO,PAYMENT_COVERAGE,REVOLVING_BALANCE_RATIO,CASH_ADVANCE_VELOCITY,CASH_VS_PURCHASE_RATIO,CASH_ADVANCE_SIZE,CREDIT_UTILIZATION_TREND,AVAILABLE_CREDIT_USAGE,PURCHASE_STABILITY,INSTALLMENT_PREFERENCE,ONEOFF_PREFERENCE,USAGE_CONSISTENCY,DORMANCY_RISK,BALANCE_PER_MONTH,PAYMENT_VELOCITY,RISK_CLUSTER,COMPOSITE_RISK,RISK_LEVEL
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,9441.012360899998,0.0,12.0,0.2221931131849087,0.12064102628761754,0.0,9441.012360899998,0.2676766666666667,2.0,17.149001416666668,5.66119753460273,0.0,0.9994003611775737,0.07692307692307693,0.13719201133333334,102.8940085,0.2221931131849087,0.7776735712571657,749.5,0.0,0.9993333333333333,0.3598485,0.6401515,128.2054263076923,0.0,1,1.0,CRITICAL
C19185,193.571722,0.833333,1012.73,1012.73,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,2.0,4000.0,0.0,231.33054470000002,0.0,6.0,0.048380835291177204,0.0,0.0,231.33054470000002,0.38888866666666666,2.0,0.0,1.1889217113471402,0.0,0.9948605070165335,0.0,0.0,0.0,0.048380835291177204,0.9513692271932017,337.57666666666665,0.0,0.9990135440403263,0.583333,0.416667,27.65310314285714,0.0,1,1.0,CRITICAL
C10864,1437.895562,1.0,350.0,0.0,350.0,0.0,0.166667,0.0,0.166667,0.0,0.0,2.0,4000.0,0.0,10188.407167300002,0.0,12.0,0.3593840444888778,0.0,0.0,10188.407167300002,0.388889,2.0,0.0,7.080713455769212,0.0,0.9993050225281048,0.0,0.0,0.0,0.3593840444888778,0.6403660179955012,116.66666666666667,0.9971509971509972,0.0,0.5833335,0.41666650000000005,110.60735092307692,0.0,1,1.0,CRITICAL
C10871,230.359954,1.0,2163.12,1383.12,780.0,0.0,1.0,1.0,0.333333,0.0,0.0,23.0,4000.0,0.0,609.5146828999999,0.0,12.0,0.05757559460134966,0.0,0.0,609.5146828999999,0.6666666666666666,23.0,0.0,2.6344865321852544,0.0,0.99567773081421,0.0,0.0,0.0,0.05757559460134966,0.9421744678830293,90.13,0.36042363639724234,0.639114282017633,1.0,0.0,17.71999646153846,0.0,1,1.0,CRITICAL
C10877,1255.779743,1.0,385.0,385.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,5000.0,0.0,5934.9506251,0.0,12.0,0.2511057274545091,0.0,0.0,5934.9506251,0.388889,2.0,0.0,4.722347458380383,0.0,0.9992043156284386,0.0,0.0,0.0,0.2511057274545091,0.7486943125374925,128.33333333333334,0.0,0.9974093264248705,0.5833335,0.41666650000000005,96.59844176923077,0.0,1,1.0,CRITICAL
C10883,992.599867,1.0,100.0,100.0,0.0,593.181763,0.083333,0.083333,0.0,0.166667,3.0,1.0,1200.0,0.0,2695.5284844000003,0.0,12.0,0.8264778243130725,0.854504964861775,0.0,2695.5284844000003,0.4166666666666667,4.0,49.43181358333334,2.7128913498536127,0.0,0.9989935586414486,0.23076923076923078,5.873086762376238,148.29544075,0.8264778243130725,0.1726895362198168,50.0,0.0,0.9900990099009901,0.5416665,0.45833349999999995,76.35383592307693,0.0,1,1.0,CRITICAL
C10890,1374.460976,1.0,1990.81,0.0,1990.81,0.0,1.0,0.0,0.916667,0.0,0.0,31.0,5000.0,0.0,9783.663117299999,0.0,12.0,0.27483722775444913,0.0,0.0,9783.663117299999,0.6666666666666666,31.0,0.0,7.113006685040258,0.0,0.9992729710130286,0.0,0.0,0.0,0.27483722775444913,0.7249628122375524,62.2128125,0.9994979440810118,0.0,1.0,0.0,105.72776738461539,0.0,1,1.0,CRITICAL
C10891,0.0,0.0,199.88,0.0,199.88,0.0,0.75,0.0,0.75,0.0,0.0,14.0,4000.0,0.0,9.0674694,0.0,12.0,0.0,0.0,0.0,9.0674694,0.25,14.0,0.0,9.0674694,0.0,0.0,0.0,0.0,0.0,0.0,0.9997500624843789,13.325333333333333,0.9950219036240542,0.0,0.375,0.625,0.0,0.0,1,1.0,CRITICAL
C10898,1254.970145,1.0,769.34,769.34,0.0,2234.780695,0.166667,0.166667,0.0,0.333333,7.0,3.0,7000.0,0.0,4070.529484199999,0.0,12.0,0.1792558413083845,0.7436575504998144,0.0,4070.529484199999,0.5,10.0,186.23172458333332,3.2409444606662996,0.0,0.9992038027305179,0.5384615384615384,2.901031615909858,279.347586875,0.1792558413083845,0.8206013219540066,192.335,0.0,0.9987018719007191,0.5833335,0.41666650000000005,96.536165,0.0,1,1.0,CRITICAL
C10899,2174.018945,1.0,377.1,177.62,199.48,388.849566,0.333333,0.083333,0.25,0.166667,2.0,5.0,2600.0,0.0,15043.801739000002,0.0,12.0,0.8358396559015763,0.5070080005756206,0.0,15043.801739000002,0.5,7.0,32.4041305,6.916630208478485,0.0,0.9995402338897789,0.15384615384615385,1.028430483998942,129.616522,0.8358396559015763,0.16377587658592857,62.85,0.5275852948955302,0.46976990214229036,0.6666665,0.33333349999999995,167.23222653846153,0.0,1,1.0,CRITICAL
